"Search Terms","Committee on Foreign relations"
"Total Count","36336"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"1","Congressional Committee Prints","CPRT-95JPRT20039OvIII","CPRT-95JPRT20039OvIII","Legislation on foreign relations through 1977. Volume III: Treaties and Related Material, Committee on International Relations, Committee on Foreign Relations.","https://www.govinfo.gov/app/details/CPRT-95JPRT20039OvIII/CPRT-95JPRT20039OvIII","https://www.govinfo.gov/content/pkg/CPRT-95JPRT20039OvIII/pdf/CPRT-95JPRT20039OvIII.pdf","","","","","KANSAS STATE UNIVERSITY U.S. House of Representatives U.S. Senate OCUMLNTS MAR 3 0 107g oreign Relations hrough 1977 VOLUME III COMMITTEE ON INTERNATIONAL RELATIONS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 1977 JOINT COMMITTEE PRINT FEBRUARY 1978 TREATIES AND RELATED MATERIAL VOLUME III U.S. House of Representatives ...","","1978-02-01"
"2","Congressional Committee Prints","CPRT-95JPRT20818OvI","CPRT-95JPRT20818OvI","Legislation on foreign relations through 1977. Volume I: Current Legislation and Related Executive Orders, Committee on International Relations, Committee on Foreign Relations.","https://www.govinfo.gov/app/details/CPRT-95JPRT20818OvI/CPRT-95JPRT20818OvI","https://www.govinfo.gov/content/pkg/CPRT-95JPRT20818OvI/pdf/CPRT-95JPRT20818OvI.pdf","","","",""," Foreign Relations Through 1977 FEBRUARY 1978 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME I U.S. House of Representatives U.S. Senate COMMITTEE ON INTERNATIONAL RELATIONS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 1977 JOINT COMMITTEE PRINT FEBRUARY 1978 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S....","","1978-02-01"
"3","Congressional Committee Prints","CPRT-109JPRT25514","CPRT-109JPRT25514","COMMITTEE ON INTERNATIONAL RELATIONS","https://www.govinfo.gov/app/details/CPRT-109JPRT25514/CPRT-109JPRT25514","https://www.govinfo.gov/content/pkg/CPRT-109JPRT25514/pdf/CPRT-109JPRT25514.pdf","https://www.govinfo.gov/content/pkg/CPRT-109JPRT25514/html/CPRT-109JPRT25514.htm","","","",".#15 JOINT COMMITTEE PRINT APRIL 2006 VOLUME I-B OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. House of Representatives U.S. Senate Legislation on Foreign Relations Through 2005--Volume I-B of Vols. I-A & I-B ? COMMITTEE ON INTERNATIONAL RELATIONS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations ...","","2006-04-01"
"4","Congressional Committee Prints","CPRT-115SPRT28545","CPRT-115SPRT28545","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-115SPRT28545/CPRT-115SPRT28545","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28545/pdf/CPRT-115SPRT28545.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28545/html/CPRT-115SPRT28545.htm","","",""," IN TIFF FORMAT] FEBRUARY 2018 Printed for the use of the Committee on Foreign Relations ______ U.S. GOVERNMENT PUBLISHING OFFICE 28-545 PDF WASHINGTON : 2018 For sale by the Superintendent of Documents, U.S. Government Publishing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 ...","","2018-02-01"
"5","Congressional Committee Prints","CPRT-115SPRT23704","CPRT-115SPRT23704","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-115SPRT23704/CPRT-115SPRT23704","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23704/pdf/CPRT-115SPRT23704.pdf","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23704/html/CPRT-115SPRT23704.htm","","",""," IN TIFF FORMAT] JANUARY 2017 Printed for the use of the Committee on Foreign Relations ________ U.S. GOVERNMENT PUBLISHING OFFICE 23-704 PDF WASHINGTON : 2017 For sale by the Superintendent of Documents, U.S. Government Publishing Office, Internet:bookstore.gpo.gov. Phone:toll free (866)512-1800;DC area (202)512-1800 Fax:(202) 512-2104 Mail:...","","2017-01-01"
"6","Congressional Committee Prints","CPRT-112SPRT64350","CPRT-112SPRT64350","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-112SPRT64350/CPRT-112SPRT64350","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64350/pdf/CPRT-112SPRT64350.pdf","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64350/html/CPRT-112SPRT64350.htm","","",""," 64350 WASHINGTON : 2010 For sale by the Superintendent of Documents, U.S. Government Printing Office, http://bookstore.gpo.gov. For more information, contact the GPO Customer Contact Center, U.S. Government Printing Office. Phone 202�09512�091800, or 866�09512�091800 (toll-free). E-mail, gpo@custhelp.com. JOHN KERRY, Massachusetts, Chairman ...","","2012-01-01"
"7","Congressional Committee Prints","CPRT-108SPRT86466","CPRT-108SPRT86466","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-108SPRT86466/CPRT-108SPRT86466","https://www.govinfo.gov/content/pkg/CPRT-108SPRT86466/pdf/CPRT-108SPRT86466.pdf","https://www.govinfo.gov/content/pkg/CPRT-108SPRT86466/html/CPRT-108SPRT86466.htm","","","","IN TIFF FORMAT] Printed for the use of the Committee on foreign Relations _______ U. S. GOVERNMENT PRINTING OFFICE 86-466 WASHINGTON : 2003 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512-1800 Fax: (202) 512-2250 Mail: Stop SSOP, Washington, DC 20402...","","2004-01-01"
"8","Congressional Committee Prints","CPRT-107SPRT69993","CPRT-107SPRT69993","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-107SPRT69993/CPRT-107SPRT69993","https://www.govinfo.gov/content/pkg/CPRT-107SPRT69993/pdf/CPRT-107SPRT69993.pdf","https://www.govinfo.gov/content/pkg/CPRT-107SPRT69993/html/CPRT-107SPRT69993.htm","","",""," H. SMITH, Oregon CRAIG THOMAS, Wyoming BILL FRIST, Tennessee LINCOLN D. CHAFEE, Rhode Island GEORGE ALLEN, Virginia SAM BROWNBACK, Kansas JOSEPH R. BIDEN, Jr., Delaware PAUL S. SARBANES, Maryland CHRISTOPHER J. DODD, Connecticut JOHN F. KERRY, Massachusetts RUSSELL D. FEINGOLD, Wisconsin PAUL D. WELLSTONE, Minnesota BARBARA BOXER, California ...","","2002-01-01"
"9","Congressional Committee Prints","CPRT-95JPRT20818OvII","CPRT-95JPRT20818OvII","Legislation on foreign relations through 1977. Volume II: Current Legislation and Related Executive Orders, Committee on International Relations, Committee on Foreign Relations.","https://www.govinfo.gov/app/details/CPRT-95JPRT20818OvII/CPRT-95JPRT20818OvII","https://www.govinfo.gov/content/pkg/CPRT-95JPRT20818OvII/pdf/CPRT-95JPRT20818OvII.pdf","","","",""," CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME II U.S. House of Representatives U.S. Senate COMMITTEE ON INTERNATIONAL RELATIONS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 1977 JOINT COMMITTEE PRINT FEBRUARY 1978 CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS VOLUME II U.S. House of Representatives U.S. ...","","1978-02-01"
"10","Congressional Committee Prints","CPRT-107SPRT74802","CPRT-107SPRT74802","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-107SPRT74802/CPRT-107SPRT74802","https://www.govinfo.gov/content/pkg/CPRT-107SPRT74802/pdf/CPRT-107SPRT74802.pdf","https://www.govinfo.gov/content/pkg/CPRT-107SPRT74802/html/CPRT-107SPRT74802.htm","","",""," use of the Committee on Foreign Relations Reprinted to reflect changes in Committee membership as of July 10, 2001 U.S. GOVERNMENT PRINTING OFFICE 74-802 WASHINGTON : 2001 COMMITTEE ON FOREIGN RELATIONS JOSEPH R. BIDEN, Jr., Delaware, Chairman PAUL S. SARBANES, Maryland JESSE HELMS, North Carolina, Ranking CHRISTOPHER J. DODD, Connecticut Member ...","","2001-02-07"
"11","Congressional Committee Prints","CPRT-106SPRT54827","CPRT-106SPRT54827","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-106SPRT54827/CPRT-106SPRT54827","https://www.govinfo.gov/content/pkg/CPRT-106SPRT54827/pdf/CPRT-106SPRT54827.pdf","https://www.govinfo.gov/content/pkg/CPRT-106SPRT54827/html/CPRT-106SPRT54827.htm","","",""," HAGEL, Nebraska GORDON H. SMITH, Oregon ROD GRAMS, Minnesota SAM BROWNBACK, Kansas CRAIG THOMAS, Wyoming JOHN ASHCROFT, Missouri BILL FRIST, Tennessee JOSEPH R. BIDEN, Jr., Delaware PAUL S. SARBANES, Maryland CHRISTOPHER J. DODD, Connecticut JOHN F. KERRY, Massachusetts RUSSELL D. FEINGOLD, Wisconsin PAUL D. WELLSTONE, Minnesota BARBARA BOXER, ...","","2000-01-01"
